Gene symbol	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h
Mapkap1	10.808	12.3855	16.3735	15.0735	15.869000000000002
Fhl4	0.0	0.114	0.1055	0.049	0.096
Mgat3	0.0055000000000000005	0.0435	0.011	0.0	0.0
Tmem234	58.318999999999996	52.3465	52.058	50.6305	52.631
Speer4c	0.0	0.0	0.0	0.0	0.0155
Gpr56	5.9335	9.861	7.843	8.01	7.4855
Olfr624	0.0	0.0	0.0	0.0	0.0
Rapgefl1	0.030500000000000006	0.1025	0.1165	0.077	0.053000000000000005
Dmkn	4.7725	2.6460000000000004	1.4555	0.6080000000000001	0.31949999999999995
Nsl1	0.8335	1.1425	1.3425	1.2545000000000002	1.2215
Cit	1.068	0.8245	0.513	0.485	0.7
Tnfsf9	6.2715	8.838000000000003	9.062000000000001	6.575	9.738
Shisa4	0.0	0.21950000000000006	0.0665	0.29600000000000004	0.0475
4933428G20Rik	1.054	0.4715	0.08249999999999999	0.203	0.2665
Hmgb1	1.771	2.31	3.0695	2.6630000000000003	2.7435
Kcnj9	0.0605	0.019	0.008	0.0215	0.0
Tbc1d7	2.388	2.78	3.460500000000001	3.2735000000000003	4.583
Nt5c1a	0.0	0.0	0.0	0.0	0.0
Cntn1	0.1935	0.165	0.07050000000000001	0.0625	0.0555
Gm14137	0.617	0.36700000000000005	0.3805	0.437	0.255
Gm11569	0.0	0.0	0.0	0.0	0.0
Per1	18.839000000000002	19.235	16.412499999999998	17.7845	14.9355
Siglec5	1.0390000000000001	0.722	1.006	1.136	1.347
Mlst8	9.1755	10.9535	11.0305	11.002	10.427
Sdhaf2	14.4005	18.183	20.919	20.3955	19.7985
Olfr390	0.0	0.0	0.0	0.0	0.0
Lbr	80.63600000000001	63.666000000000004	43.8375	40.2165	36.3425
Olfr749	0.0	0.0	0.0	0.0	0.0
Shroom4	0.041	0.034	0.0	0.0095	0.025
Bcl11a	0.945	0.6950000000000001	0.9945	1.1565	1.1285
Rit2	0.0	0.0	0.0	0.0	0.0
Uaca	0.1445	0.028	0.037000000000000005	0.1345	0.14800000000000002
Cpne3	19.4365	20.7355	12.999	12.339000000000002	10.5335
Slc35g2	1.8405	1.1520000000000001	0.366	0.293	0.384
Qrfpr	0.0	0.0	0.0	0.0	0.01
Vipr2	0.10699999999999997	0.138	0.031	0.040999999999999995	0.057
Alg11	3.3815	5.2695	7.186	7.6005	7.742999999999999
Stim1	33.482	25.849000000000004	20.423	17.767	16.314
Olfr1420	0.1865	0.0	0.028	0.0955	0.0585
Nexn	0.0	0.263	0.16499999999999998	0.198	0.115
Cluh	9.8935	15.057	26.9655	34.395	38.00700000000001
Ctrl	0.978	0.4055	0.5760000000000001	0.2385	0.5465
Glyatl3	0.0	0.118	0.0	0.0	0.0
Stx5a	38.6365	41.599	37.093	32.916	32.8735
